en,file,file-name,gen,id,length,sp
Mallard,https://xeno-canto.org/500766/download,XC500766-Anas platyrhynchos_2019.08.27_19.36_01.mp3,Anas,500766,0:08,platyrhynchos
Mallard,https://xeno-canto.org/357091/download,XC357091-1200 pato real barragem 24-02-2017.mp3,Anas,357091,0:15,platyrhynchos
Mallard,https://xeno-canto.org/710488/download,XC710488-220316-172128patoreal.mp3,Anas,710488,0:19,platyrhynchos
Mallard,https://xeno-canto.org/710474/download,XC710474-220316-164046patoreal.mp3,Anas,710474,0:19,platyrhynchos
Mallard,https://xeno-canto.org/710472/download,XC710472-220316-163007patoreal.mp3,Anas,710472,0:11,platyrhynchos
Mallard,https://xeno-canto.org/673744/download,XC673744-210817-200334patoreal.mp3,Anas,673744,0:11,platyrhynchos
Mallard,https://xeno-canto.org/624399/download,XC624399-210225_0351.mp3,Anas,624399,0:42,platyrhynchos
Mallard,https://xeno-canto.org/615253/download,XC615253-210113-018_NR5N10_16h20_Aplatyrhynchos.mp3,Anas,615253,0:19,platyrhynchos
Mallard,https://xeno-canto.org/529107/download,XC529107-2020.02.15_07.38_01.mp3,Anas,529107,0:13,platyrhynchos
Mallard,https://xeno-canto.org/501752/download,XC501752-191002-040311id.mp3,Anas,501752,0:05,platyrhynchos
Mallard,https://xeno-canto.org/485249/download,XC485249-Anas platyrhynchos_call_06_07_19_Campos do Lis (online-audio-converter.com).mp3,Anas,485249,1:01,platyrhynchos
Mallard,https://xeno-canto.org/464872/download,XC464872-190323-190911patoreal.mp3,Anas,464872,0:10,platyrhynchos
Mallard,https://xeno-canto.org/464843/download,XC464843-190323-172321patoreal.mp3,Anas,464843,0:31,platyrhynchos
Mallard,https://xeno-canto.org/464841/download,XC464841-190323-172024patorealadultoejuvenil.mp3,Anas,464841,0:50,platyrhynchos
Mallard,https://xeno-canto.org/464838/download,XC464838-190323-171852patorealjuvenil.mp3,Anas,464838,0:58,platyrhynchos
Mallard,https://xeno-canto.org/464833/download,XC464833-190323-171748patorealjuvenil.mp3,Anas,464833,0:31,platyrhynchos
Mallard,https://xeno-canto.org/464831/download,XC464831-190323-171729patorealjuvenil.mp3,Anas,464831,0:13,platyrhynchos
Mallard,https://xeno-canto.org/464827/download,XC464827-190323-171012patoreal.mp3,Anas,464827,0:18,platyrhynchos
Mallard,https://xeno-canto.org/464826/download,XC464826-190323-170901patoreal.mp3,Anas,464826,0:23,platyrhynchos
Mallard,https://xeno-canto.org/460903/download,XC460903-190307-114319patoreal.mp3,Anas,460903,0:31,platyrhynchos
Mallard,https://xeno-canto.org/450266/download,"XC450266-20190105_165207+6,5sagcpato.mp3",Anas,450266,1:24,platyrhynchos
Mallard,https://xeno-canto.org/450257/download,"XC450257-20190105_165124+6,5cagcpato.mp3",Anas,450257,0:10,platyrhynchos
Mallard,https://xeno-canto.org/441795/download,XC441795-20181106_180817patoreal.mp3,Anas,441795,0:25,platyrhynchos
Mallard,https://xeno-canto.org/441781/download,XC441781-20181105_180726patoreal.mp3,Anas,441781,0:09,platyrhynchos
Mallard,https://xeno-canto.org/279602/download,XC279602-Ana_pla_20140228_Montargil_PS_ICD-UX522.mp3,Anas,279602,0:37,platyrhynchos
Mallard,https://xeno-canto.org/776593/download,XC776593-230118-174345PatoReal.wav,Anas,776593,0:08,platyrhynchos
Mallard,https://xeno-canto.org/756992/download,XC756992-221008-091152PatoReal.wav,Anas,756992,0:09,platyrhynchos
Mallard,https://xeno-canto.org/508333/download,XC508333-191113-170836patoreal.mp3,Anas,508333,0:08,platyrhynchos
Mallard,https://xeno-canto.org/481641/download,XC481641-190528-213125patoreal.mp3,Anas,481641,0:11,platyrhynchos
Mallard,https://xeno-canto.org/459758/download,XC459758-190217-090355patoreal.mp3,Anas,459758,0:14,platyrhynchos
Mallard,https://xeno-canto.org/450270/download,XC450270-20190105_165603pato.mp3,Anas,450270,0:10,platyrhynchos
Mallard,https://xeno-canto.org/422654/download,XC422654-Anas platyrhynchos_call_2018.06.23_06.32_01.mp3,Anas,422654,0:22,platyrhynchos
Mallard,https://xeno-canto.org/788274/download,XC788274-Ana.pla.1_Lagoa-de-Albufeira.wav,Anas,788274,0:03,platyrhynchos
Mallard,https://xeno-canto.org/587169/download,XC587169-200907_0044 (mallard).mp3,Anas,587169,0:01,platyrhynchos
Northern Pintail,https://xeno-canto.org/770744/download,"XC770744-Northern-Pintail,-Albufeira,-221221-041.wav",Anas,770744,0:24,acuta
Northern Pintail,https://xeno-canto.org/770692/download,"XC770692-Northern-Pintail,-call,-221221-052.wav",Anas,770692,1:41,acuta
Northern Pintail,https://xeno-canto.org/770743/download,"XC770743-Northern-Pintail,-call,-Albufeira,-221221-033.wav",Anas,770743,0:28,acuta
Northern Pintail,https://xeno-canto.org/508337/download,XC508337-191113-170935arrábio.mp3,Anas,508337,0:03,acuta
Northern Pintail,https://xeno-canto.org/508331/download,XC508331-191113-170419arrábio.mp3,Anas,508331,0:05,acuta
Northern Pintail,https://xeno-canto.org/508329/download,XC508329-191113-170328arrábio.mp3,Anas,508329,0:03,acuta
Northern Pintail,https://xeno-canto.org/508327/download,XC508327-191113-170142arrábio.mp3,Anas,508327,0:01,acuta
Northern Pintail,https://xeno-canto.org/496284/download,XC496284-190906-022755id.mp3,Anas,496284,0:09,acuta
Eurasian Teal,https://xeno-canto.org/787336/download,XC787336-Anas-crecca_2023.03.19_17.52_01.mp3,Anas,787336,0:04,crecca
Eurasian Teal,https://xeno-canto.org/785633/download,XC785633-AnacreTop4_Reserva-Natural-da-Terra-Brava-e-Criação-das-Lagoas.wav,Anas,785633,0:12,crecca
Eurasian Teal,https://xeno-canto.org/785632/download,XC785632-AnacreTop3_Reserva-Natural-da-Terra-Brava-e-Criação-das-Lagoas.wav,Anas,785632,0:42,crecca
Eurasian Teal,https://xeno-canto.org/785631/download,XC785631-AnacreTop2_Reserva-Natural-da-Terra-Brava-e-Criação-das-Lagoas.wav,Anas,785631,0:32,crecca
Eurasian Teal,https://xeno-canto.org/785630/download,XC785630-AnacreTop1_Reserva-Natural-da-Terra-Brava-e-Criação-das-Lagoas.wav,Anas,785630,0:32,crecca
Eurasian Teal,https://xeno-canto.org/750727/download,XC750727-Anas crecca_2022.08.26_09.42_03.mp3,Anas,750727,0:02,crecca
Eurasian Teal,https://xeno-canto.org/750726/download,XC750726-Anas crecca_2022.08.26_09.39_01.mp3,Anas,750726,0:02,crecca
Eurasian Teal,https://xeno-canto.org/750725/download,XC750725-Anas crecca_2022.08.26_09.18_01.mp3,Anas,750725,0:04,crecca
Eurasian Teal,https://xeno-canto.org/776594/download,XC776594-230118-174528Marrequinha.wav,Anas,776594,0:14,crecca
Eurasian Teal,https://xeno-canto.org/776592/download,XC776592-230118-174345Marrequinha.wav,Anas,776592,0:41,crecca
Eurasian Teal,https://xeno-canto.org/776590/download,XC776590-230118-174252Marrequinha.wav,Anas,776590,0:20,crecca
Eurasian Teal,https://xeno-canto.org/776589/download,XC776589-230118-174142Marrequinha.wav,Anas,776589,0:05,crecca
Eurasian Teal,https://xeno-canto.org/776588/download,XC776588-230118-173853Marrequinha.wav,Anas,776588,0:04,crecca
Eurasian Teal,https://xeno-canto.org/771862/download,XC771862-Anas-crecca_call_27_12_22_Madriz.wav,Anas,771862,0:20,crecca
Eurasian Teal,https://xeno-canto.org/713113/download,XC713113-220325-165309marrequinha2.mp3,Anas,713113,0:13,crecca
Eurasian Teal,https://xeno-canto.org/713112/download,XC713112-220325-165309marrequinha.mp3,Anas,713112,0:02,crecca
Eurasian Teal,https://xeno-canto.org/702314/download,XC702314-220211-181314marrequinha.mp3,Anas,702314,0:40,crecca
Eurasian Teal,https://xeno-canto.org/702308/download,XC702308-220211-181122marrequinha.mp3,Anas,702308,0:02,crecca
Eurasian Teal,https://xeno-canto.org/702302/download,XC702302-220211-180825marrequinha.mp3,Anas,702302,0:04,crecca
Eurasian Teal,https://xeno-canto.org/701362/download,XC701362-220204-110903marrequinha.mp3,Anas,701362,0:02,crecca
Eurasian Teal,https://xeno-canto.org/685779/download,XC685779-210831_0773.mp3,Anas,685779,0:10,crecca
Eurasian Teal,https://xeno-canto.org/628773/download,XC628773-2021-03-13 20.24.33.mp3,Anas,628773,0:20,crecca
Eurasian Teal,https://xeno-canto.org/455398/download,XC455398-2016.01.16_18.50_0.mp3,Anas,455398,0:10,crecca
Red-crested Pochard,https://xeno-canto.org/798686/download,XC798686-230228-173600PatoBicoVermelho.mp3,Netta,798686,0:03,rufina
Red-crested Pochard,https://xeno-canto.org/798685/download,XC798685-230228-173025PatoBicoVermelho.mp3,Netta,798685,0:03,rufina
Common Pochard,https://xeno-canto.org/508345/download,XC508345-191113-171449zarro.mp3,Aythya,508345,0:02,ferina
Common Pochard,https://xeno-canto.org/506866/download,XC506866-191113-170904id.mp3,Aythya,506866,0:01,ferina
Common Pochard,https://xeno-canto.org/506865/download,XC506865-191113-170142id.mp3,Aythya,506865,0:01,ferina
Common Pheasant,https://xeno-canto.org/835192/download,XC835192-Phasianus-colchicus_2023.10.23_11.36_01.mp3,Phasianus,835192,1:40,colchicus
Common Pheasant,https://xeno-canto.org/500114/download,XC500114-2019.09.28_18.44_01.mp3,Phasianus,500114,0:23,colchicus
Common Pheasant,https://xeno-canto.org/422829/download,XC422829-Faisão Phasianus colchicus_song_2018.04.21_09.11_01.mp3,Phasianus,422829,0:03,colchicus
Common Pheasant,https://xeno-canto.org/748311/download,XC748311-220322_1089_Pha col.mp3,Phasianus,748311,0:04,colchicus
Indian Peafowl,https://xeno-canto.org/731727/download,XC731727-2022.06.12_10.31_01.mp3,Pavo,731727,0:07,cristatus
Indian Peafowl,https://xeno-canto.org/723236/download,XC723236-220424_001_240922_Raadsel11.mp3,Pavo,723236,0:10,cristatus
Indian Peafowl,https://xeno-canto.org/723218/download,XC723218-220423_001_240641_Raadsel20.mp3,Pavo,723218,0:10,cristatus
Common Quail,https://xeno-canto.org/835144/download,XC835144-Cuturnix-cuturnix_230930_164716_12.mp3,Coturnix,835144,0:10,coturnix
Common Quail,https://xeno-canto.org/832706/download,XC832706-230930_164716_12.mp3,Coturnix,832706,0:10,coturnix
Common Quail,https://xeno-canto.org/820681/download,XC820681-Cotcot2_Canada-Cabo-do-Raminho.wav,Coturnix,820681,0:58,coturnix
Common Quail,https://xeno-canto.org/820677/download,XC820677-Cotcot3_Caminho-Atrás-do-Pico.wav,Coturnix,820677,1:12,coturnix
Common Quail,https://xeno-canto.org/820676/download,XC820676-Cotcot2_Caminho-Atrás-do-Pico.wav,Coturnix,820676,0:41,coturnix
Common Quail,https://xeno-canto.org/820673/download,XC820673-cotcottop2_Porto-das-Cinco-Ribeiras.wav,Coturnix,820673,0:21,coturnix
Common Quail,https://xeno-canto.org/820672/download,XC820672-cotcottop1_Porto-das-Cinco-Ribeiras.wav,Coturnix,820672,0:13,coturnix
Common Quail,https://xeno-canto.org/820671/download,XC820671-Cotcot1_Porto-das-Cinco-Ribeiras.wav,Coturnix,820671,0:12,coturnix
Common Quail,https://xeno-canto.org/820670/download,XC820670-Cotcot1_Canada-dos-Vinte.wav,Coturnix,820670,0:05,coturnix
Common Quail,https://xeno-canto.org/820669/download,XC820669-Cotcot2_Canada-da-Boavista.wav,Coturnix,820669,0:49,coturnix
Common Quail,https://xeno-canto.org/820667/download,XC820667-Cotcot6_CAC3.wav,Coturnix,820667,0:41,coturnix
Common Quail,https://xeno-canto.org/820664/download,XC820664-Cotcot3_CAC3.wav,Coturnix,820664,0:08,coturnix
Common Quail,https://xeno-canto.org/820662/download,XC820662-Cotcot2_CAC3.wav,Coturnix,820662,0:03,coturnix
Common Quail,https://xeno-canto.org/820661/download,XC820661-Cotcot1_CAC3.wav,Coturnix,820661,0:04,coturnix
Common Quail,https://xeno-canto.org/817616/download,XC817616-Cotcot3_regatos.wav,Coturnix,817616,0:22,coturnix
Common Quail,https://xeno-canto.org/817615/download,XC817615-Cotcot2_Regatos.wav,Coturnix,817615,0:13,coturnix
Common Quail,https://xeno-canto.org/817614/download,XC817614-Cotcot1_Regatos.wav,Coturnix,817614,0:20,coturnix
Common Quail,https://xeno-canto.org/817613/download,XC817613-Cotcottop1_CAC3.wav,Coturnix,817613,0:33,coturnix
Common Quail,https://xeno-canto.org/817612/download,XC817612-Cotcot1_CAC3.wav,Coturnix,817612,0:04,coturnix
Common Quail,https://xeno-canto.org/817497/download,XC817497-CotcotTop3_Aeroporto-Norte.wav,Coturnix,817497,1:00,coturnix
Common Quail,https://xeno-canto.org/817493/download,XC817493-Cotcottop2_Aeroporto-Norte.wav,Coturnix,817493,0:44,coturnix
Common Quail,https://xeno-canto.org/817491/download,XC817491-Cotcottop1_Aeroporto-Norte.wav,Coturnix,817491,0:04,coturnix
Common Quail,https://xeno-canto.org/817486/download,XC817486-Cotcottop3_Serra-de-Santiago.wav,Coturnix,817486,0:56,coturnix
Common Quail,https://xeno-canto.org/817484/download,XC817484-Cotcottop2_Serra-de-Santiago.wav,Coturnix,817484,1:09,coturnix
Common Quail,https://xeno-canto.org/817481/download,XC817481-Cotcottop1_Serra-de-Santiago.wav,Coturnix,817481,0:25,coturnix
Common Quail,https://xeno-canto.org/817480/download,XC817480-Cotcot4_Serra-de-Santiago.wav,Coturnix,817480,1:03,coturnix
Common Quail,https://xeno-canto.org/817478/download,XC817478-Cotcot3_Serra-de-Santiago.wav,Coturnix,817478,1:22,coturnix
Common Quail,https://xeno-canto.org/817477/download,XC817477-Cotcot2_Serra-de-Santiago.wav,Coturnix,817477,1:12,coturnix
Common Quail,https://xeno-canto.org/817475/download,XC817475-Cotcot1_Serra-de-Santiago.wav,Coturnix,817475,0:34,coturnix
Common Quail,https://xeno-canto.org/817472/download,XC817472-CotcotTop2_Campos-das-Doze-Ribeiras.wav,Coturnix,817472,0:31,coturnix
Common Quail,https://xeno-canto.org/817470/download,XC817470-CotcotTop1_Campos-das-Doze-Ribeiras.wav,Coturnix,817470,0:31,coturnix
Common Quail,https://xeno-canto.org/817469/download,XC817469-Cotcot3_Campos-das-Doze-Ribeiras.wav,Coturnix,817469,0:26,coturnix
Common Quail,https://xeno-canto.org/817467/download,XC817467-Cotcot2_Campos-das-Doze-Ribeiras.wav,Coturnix,817467,0:44,coturnix
Common Quail,https://xeno-canto.org/817466/download,XC817466-Cotcot1_Campos-das-Doze-Ribeiras.wav,Coturnix,817466,0:15,coturnix
Common Quail,https://xeno-canto.org/817464/download,XC817464-Cotcottop1_Canada-da-Boaventura.wav,Coturnix,817464,0:47,coturnix
Common Quail,https://xeno-canto.org/817458/download,XC817458-Cot.cot.Top5_Canada-da-Boaventura.wav,Coturnix,817458,0:59,coturnix
Common Quail,https://xeno-canto.org/817456/download,XC817456-Cot.cot.Top4_Canada-da-Boaventura.wav,Coturnix,817456,0:03,coturnix
Common Quail,https://xeno-canto.org/817455/download,XC817455-Cot.cot.TOP3_Canada-da-Boaventura.wav,Coturnix,817455,0:53,coturnix
Common Quail,https://xeno-canto.org/817454/download,XC817454-Cot.cot.top2_Canada-da-Boaventura.wav,Coturnix,817454,0:18,coturnix
Common Quail,https://xeno-canto.org/817453/download,XC817453-Cot.cot.top1_Canada-da-Boaventura.wav,Coturnix,817453,0:38,coturnix
Common Quail,https://xeno-canto.org/817452/download,XC817452-Cotcottop9_Canada-dos-Corvelos.wav,Coturnix,817452,0:48,coturnix
Common Quail,https://xeno-canto.org/817451/download,XC817451-Cotcottop8_Canada-dos-Corvelos.wav,Coturnix,817451,0:57,coturnix
Common Quail,https://xeno-canto.org/817449/download,XC817449-Cotcottop7_Canada-dos-Corvelos.wav,Coturnix,817449,0:54,coturnix
Common Quail,https://xeno-canto.org/817448/download,XC817448-Cotcottop6_Canada-dos-Corvelos.wav,Coturnix,817448,1:01,coturnix
Common Quail,https://xeno-canto.org/817447/download,XC817447-CotcotTop5_Canada-dos-Corvelos.wav,Coturnix,817447,1:24,coturnix
Common Quail,https://xeno-canto.org/817446/download,XC817446-CotcotTop4_Canada-dos-Corvelos.wav,Coturnix,817446,0:59,coturnix
Common Quail,https://xeno-canto.org/817445/download,XC817445-Cotcottop3_Canada-dos-Corvelos.wav,Coturnix,817445,1:15,coturnix
Common Quail,https://xeno-canto.org/817444/download,XC817444-Cotcottop2_Canada-dos-Corvelos.wav,Coturnix,817444,0:51,coturnix
Common Quail,https://xeno-canto.org/817443/download,XC817443-Cotcottop1_Canada-dos-Corvelos.wav,Coturnix,817443,0:36,coturnix
Common Quail,https://xeno-canto.org/817442/download,XC817442-Cotcot3_Canada-dos-Corvelos.wav,Coturnix,817442,0:51,coturnix
Common Quail,https://xeno-canto.org/817441/download,XC817441-Cotcot2_Canada-dos-Corvelos.wav,Coturnix,817441,0:17,coturnix
Common Quail,https://xeno-canto.org/817439/download,XC817439-Cotcot1_Canada-dos-Corvelos.wav,Coturnix,817439,1:00,coturnix
Common Quail,https://xeno-canto.org/817438/download,XC817438-Cot.cot.Top3_Canada-dos-Corvelos.wav,Coturnix,817438,0:44,coturnix
Common Quail,https://xeno-canto.org/817437/download,XC817437-Cot.cot.top2_Canada-dos-Corvelos.wav,Coturnix,817437,0:07,coturnix
Common Quail,https://xeno-canto.org/817436/download,XC817436-Cot.cot.top1_Canada-dos-Corvelos.wav,Coturnix,817436,0:06,coturnix
Common Quail,https://xeno-canto.org/817435/download,XC817435-Cot.cot.1_Canada-dos-Corvelos.wav,Coturnix,817435,0:56,coturnix
Common Quail,https://xeno-canto.org/815528/download,XC815528-Cotcottop2_Canada-dos-Vinte-e-um.wav,Coturnix,815528,1:12,coturnix
Common Quail,https://xeno-canto.org/815526/download,XC815526-Cotcottop1_Canada-dos-Vinte-e-um.wav,Coturnix,815526,1:17,coturnix
Common Quail,https://xeno-canto.org/815523/download,XC815523-Caille-des-blésTop8_Porto-das-Cinco-Ribeiras.wav,Coturnix,815523,0:50,coturnix
Common Quail,https://xeno-canto.org/815522/download,XC815522-Caille-des-blésTOP7_Porto-das-Cinco-Ribeiras.wav,Coturnix,815522,0:42,coturnix
Common Quail,https://xeno-canto.org/815521/download,XC815521-Caille-des-bléstop6_Porto-das-Cinco-Ribeiras.wav,Coturnix,815521,0:43,coturnix
Common Quail,https://xeno-canto.org/815519/download,XC815519-Caille-des-blésTOP5_Porto-das-Cinco-Ribeiras.wav,Coturnix,815519,0:38,coturnix
Common Quail,https://xeno-canto.org/815518/download,XC815518-Caille-des-blésTop4_Porto-das-Cinco-Ribeiras.wav,Coturnix,815518,0:43,coturnix
Common Quail,https://xeno-canto.org/815517/download,XC815517-Caille-des-blésTop3_Porto-das-Cinco-Ribeiras.wav,Coturnix,815517,0:04,coturnix
Common Quail,https://xeno-canto.org/815516/download,XC815516-Caille-des-bléstop2_Porto-das-Cinco-Ribeiras.wav,Coturnix,815516,1:19,coturnix
Common Quail,https://xeno-canto.org/815515/download,XC815515-Caille-des-bléstop1_Porto-das-Cinco-Ribeiras.wav,Coturnix,815515,0:55,coturnix
Common Quail,https://xeno-canto.org/814872/download,XC814872-CotcottopIII_Canada-dos-Corvelos.wav,Coturnix,814872,0:05,coturnix
Common Quail,https://xeno-canto.org/814871/download,XC814871-CotcottopII_Canada-doss-Corvelos.wav,Coturnix,814871,0:30,coturnix
Common Quail,https://xeno-canto.org/814870/download,XC814870-CotcotopI_Canada-dos-Corvelos.wav,Coturnix,814870,0:20,coturnix
Common Quail,https://xeno-canto.org/814868/download,XC814868-Cotcot2_Canada-dos-Corvelos.wav,Coturnix,814868,0:25,coturnix
Common Quail,https://xeno-canto.org/814867/download,XC814867-Cotcot1_Canada-dos-Corvelos.wav,Coturnix,814867,0:57,coturnix
Common Quail,https://xeno-canto.org/814866/download,XC814866-Cot.cot.1_Canada-do-Casado.wav,Coturnix,814866,0:42,coturnix
Common Quail,https://xeno-canto.org/814340/download,XC814340-CotcotTop10_Canada-do-Casado.wav,Coturnix,814340,1:15,coturnix
Common Quail,https://xeno-canto.org/814339/download,XC814339-CotcotTop9_Canada-do-Casado.wav,Coturnix,814339,0:04,coturnix
Common Quail,https://xeno-canto.org/814338/download,XC814338-CotcotTop8_Canada-do-Casado.wav,Coturnix,814338,0:24,coturnix
Common Quail,https://xeno-canto.org/814337/download,XC814337-Cotcottop7_Canada-do-Casado.wav,Coturnix,814337,0:27,coturnix
Common Quail,https://xeno-canto.org/814336/download,XC814336-Cotcottop6_Canada-do-Casado.wav,Coturnix,814336,0:04,coturnix
Common Quail,https://xeno-canto.org/814334/download,XC814334-Cotcottop5_Canada-do-Casado.wav,Coturnix,814334,0:35,coturnix
